 STUDY_ID,SAMPLE_ID,F2
nsclc_tcga_broad_2016,TCGA-55-6642-01,1
nsclc_tcga_broad_2016,TCGA-55-6543-01,1
nsclc_tcga_broad_2016,TCGA-55-5899-01,-1
nsclc_tcga_broad_2016,TCGA-55-1596-01,-1
nsclc_tcga_broad_2016,TCGA-55-1595-01,-1
nsclc_tcga_broad_2016,TCGA-55-1594-01,1
nsclc_tcga_broad_2016,TCGA-55-1592-01,1
nsclc_tcga_broad_2016,TCGA-53-A4EZ-01,-1
nsclc_tcga_broad_2016,TCGA-53-7813-01,1
nsclc_tcga_broad_2016,TCGA-53-7626-01,-1
nsclc_tcga_broad_2016,TCGA-53-7624-01,-1
nsclc_tcga_broad_2016,TCGA-50-8460-01,0
nsclc_tcga_broad_2016,TCGA-50-8459-01,0
nsclc_tcga_broad_2016,TCGA-50-8457-01,0
nsclc_tcga_broad_2016,TCGA-50-7109-01,0
nsclc_tcga_broad_2016,TCGA-50-6673-01,-1
nsclc_tcga_broad_2016,TCGA-50-6597-01,1
nsclc_tcga_broad_2016,TCGA-50-6595-01,0
nsclc_tcga_broad_2016,TCGA-50-6594-01,-1
nsclc_tcga_broad_2016,TCGA-50-6593-01,-1
nsclc_tcga_broad_2016,TCGA-50-6592-01,-1
nsclc_tcga_broad_2016,TCGA-50-6591-01,0
nsclc_tcga_broad_2016,TCGA-50-6590-01,0
nsclc_tcga_broad_2016,TCGA-50-5946-01,0
nsclc_tcga_broad_2016,TCGA-50-5944-01,0
nsclc_tcga_broad_2016,TCGA-50-5942-01,0
nsclc_tcga_broad_2016,TCGA-50-5941-01,1
nsclc_tcga_broad_2016,TCGA-50-5939-01,-1
nsclc_tcga_broad_2016,TCGA-50-5936-01,-1
nsclc_tcga_broad_2016,TCGA-50-5935-01,0
nsclc_tcga_broad_2016,TCGA-50-5933-01,-1
nsclc_tcga_broad_2016,TCGA-50-5932-01,0
nsclc_tcga_broad_2016,TCGA-50-5931-01,-1
nsclc_tcga_broad_2016,TCGA-50-5930-01,0
nsclc_tcga_broad_2016,TCGA-50-5072-01,-1
nsclc_tcga_broad_2016,TCGA-50-5068-01,0
nsclc_tcga_broad_2016,TCGA-50-5066-01,0
nsclc_tcga_broad_2016,TCGA-50-5055-01,0
nsclc_tcga_broad_2016,TCGA-50-5051-01,0
nsclc_tcga_broad_2016,TCGA-50-5049-01,0
nsclc_tcga_broad_2016,TCGA-50-5045-01,0
nsclc_tcga_broad_2016,TCGA-50-5044-01,0
nsclc_tcga_broad_2016,TCGA-4B-A93V-01,0
nsclc_tcga_broad_2016,TCGA-49-AARR-01,0
nsclc_tcga_broad_2016,TCGA-49-AARQ-01,0
nsclc_tcga_broad_2016,TCGA-49-AARO-01,0
nsclc_tcga_broad_2016,TCGA-49-AARN-01,0
nsclc_tcga_broad_2016,TCGA-49-AARE-01,0
nsclc_tcga_broad_2016,TCGA-49-AAR9-01,0
nsclc_tcga_broad_2016,TCGA-49-AAR4-01,0
nsclc_tcga_broad_2016,TCGA-49-AAR3-01,-1
nsclc_tcga_broad_2016,TCGA-49-AAQV-01,-1
nsclc_tcga_broad_2016,TCGA-49-6767-01,-1
nsclc_tcga_broad_2016,TCGA-49-6761-01,0
nsclc_tcga_broad_2016,TCGA-49-6745-01,0
nsclc_tcga_broad_2016,TCGA-49-6744-01,0
nsclc_tcga_broad_2016,TCGA-49-6743-01,1
nsclc_tcga_broad_2016,TCGA-49-6742-01,0
nsclc_tcga_broad_2016,TCGA-49-4514-01,0
nsclc_tcga_broad_2016,TCGA-49-4512-01,1
nsclc_tcga_broad_2016,TCGA-49-4510-01,-1
nsclc_tcga_broad_2016,TCGA-49-4507-01,0
nsclc_tcga_broad_2016,TCGA-49-4506-01,-1
nsclc_tcga_broad_2016,TCGA-49-4505-01,-1
nsclc_tcga_broad_2016,TCGA-49-4501-01,0
nsclc_tcga_broad_2016,TCGA-49-4494-01,0
nsclc_tcga_broad_2016,TCGA-49-4490-01,0
nsclc_tcga_broad_2016,TCGA-49-4488-01,0
nsclc_tcga_broad_2016,TCGA-49-4487-01,-1
nsclc_tcga_broad_2016,TCGA-49-4486-01,0
nsclc_tcga_broad_2016,TCGA-44-A4SU-01,0
nsclc_tcga_broad_2016,TCGA-44-A4SS-01,-1
nsclc_tcga_broad_2016,TCGA-44-A47G-01,0
nsclc_tcga_broad_2016,TCGA-44-A47F-01,-1
nsclc_tcga_broad_2016,TCGA-44-A47B-01,1
nsclc_tcga_broad_2016,TCGA-44-A47A-01,1
nsclc_tcga_broad_2016,TCGA-44-8120-01,0
nsclc_tcga_broad_2016,TCGA-44-8119-01,-1
nsclc_tcga_broad_2016,TCGA-44-8117-01,-1
nsclc_tcga_broad_2016,TCGA-44-7672-01,0
nsclc_tcga_broad_2016,TCGA-44-7671-01,-1
nsclc_tcga_broad_2016,TCGA-44-7670-01,0
nsclc_tcga_broad_2016,TCGA-44-7669-01,1
nsclc_tcga_broad_2016,TCGA-44-7667-01,-1
nsclc_tcga_broad_2016,TCGA-44-7662-01,1
nsclc_tcga_broad_2016,TCGA-44-7661-01,1
nsclc_tcga_broad_2016,TCGA-44-7660-01,0
nsclc_tcga_broad_2016,TCGA-44-7659-01,0
nsclc_tcga_broad_2016,TCGA-44-6779-01,1
nsclc_tcga_broad_2016,TCGA-44-6778-01,1
nsclc_tcga_broad_2016,TCGA-44-6777-01,0
nsclc_tcga_broad_2016,TCGA-44-6776-01,0
nsclc_tcga_broad_2016,TCGA-44-6775-01,1
nsclc_tcga_broad_2016,TCGA-44-6774-01,0
nsclc_tcga_broad_2016,TCGA-44-6148-01,0
nsclc_tcga_broad_2016,TCGA-44-6147-01,0
nsclc_tcga_broad_2016,TCGA-44-6146-01,0
nsclc_tcga_broad_2016,TCGA-44-6145-01,0
nsclc_tcga_broad_2016,TCGA-44-6144-01,0
nsclc_tcga_broad_2016,TCGA-44-5645-01,2
nsclc_tcga_broad_2016,TCGA-44-5644-01,0
nsclc_tcga_broad_2016,TCGA-44-5643-01,0
nsclc_tcga_broad_2016,TCGA-44-4112-01,0
nsclc_tcga_broad_2016,TCGA-44-3919-01,0
nsclc_tcga_broad_2016,TCGA-44-3918-01,1
nsclc_tcga_broad_2016,TCGA-44-3398-01,0
nsclc_tcga_broad_2016,TCGA-44-3396-01,0
nsclc_tcga_broad_2016,TCGA-44-2668-01,0
nsclc_tcga_broad_2016,TCGA-44-2666-01,0
nsclc_tcga_broad_2016,TCGA-44-2665-01,0
nsclc_tcga_broad_2016,TCGA-44-2662-01,-1
nsclc_tcga_broad_2016,TCGA-44-2661-01,0
nsclc_tcga_broad_2016,TCGA-44-2659-01,1
nsclc_tcga_broad_2016,TCGA-44-2657-01,0
nsclc_tcga_broad_2016,TCGA-44-2656-01,0
nsclc_tcga_broad_2016,TCGA-44-2655-01,0
nsclc_tcga_broad_2016,TCGA-38-A44F-01,0
nsclc_tcga_broad_2016,TCGA-38-7271-01,0
nsclc_tcga_broad_2016,TCGA-38-6178-01,0
nsclc_tcga_broad_2016,TCGA-38-4632-01,-1
nsclc_tcga_broad_2016,TCGA-38-4631-01,1
nsclc_tcga_broad_2016,TCGA-38-4630-01,0
nsclc_tcga_broad_2016,TCGA-38-4629-01,0
nsclc_tcga_broad_2016,TCGA-38-4628-01,1
nsclc_tcga_broad_2016,TCGA-38-4627-01,0
nsclc_tcga_broad_2016,TCGA-38-4626-01,0
nsclc_tcga_broad_2016,TCGA-38-4625-01,0
nsclc_tcga_broad_2016,TCGA-35-5375-01,1
nsclc_tcga_broad_2016,TCGA-35-4123-01,0
nsclc_tcga_broad_2016,TCGA-35-4122-01,0
nsclc_tcga_broad_2016,TCGA-35-3615-01,0
nsclc_tcga_broad_2016,TCGA-05-5715-01,0
nsclc_tcga_broad_2016,TCGA-05-5429-01,1
nsclc_tcga_broad_2016,TCGA-05-5428-01,-1
nsclc_tcga_broad_2016,TCGA-05-5423-01,1
nsclc_tcga_broad_2016,TCGA-05-5420-01,1
nsclc_tcga_broad_2016,TCGA-05-4434-01,-1
nsclc_tcga_broad_2016,TCGA-05-4433-01,0
